stock_id,shop_id,medicine_id,available_units,last_updated
STK7000,SHOP3024,MED2298,35,2024-02-04
STK7001,SHOP3015,MED2078,30,2022-03-14
STK7002,SHOP3077,MED2932,36,2024-11-21
STK7003,SHOP3128,MED2396,44,2022-11-06
STK7004,SHOP3098,MED2110,28,2023-11-25
STK7005,SHOP3041,MED2336,20,2019-03-05
STK7006,SHOP3077,MED2860,19,2020-08-06
STK7007,SHOP3104,MED2237,48,2020-06-20
STK7008,SHOP3124,MED2959,58,2021-01-24
STK7009,SHOP3102,MED2499,45,2023-06-24
STK7010,SHOP3022,MED2138,42,2025-01-09
STK7011,SHOP3109,MED2573,35,2024-02-02
STK7012,SHOP3148,MED2074,23,2019-01-19
STK7013,SHOP3014,MED2291,22,2023-12-07
STK7014,SHOP3127,MED2318,21,2025-05-12
STK7015,SHOP3025,MED2324,31,2022-08-29
STK7016,SHOP3085,MED2836,3,2021-04-26
STK7017,SHOP3091,MED2238,41,2021-09-23
STK7018,SHOP3087,MED2294,44,2019-11-17
STK7019,SHOP3081,MED2552,37,2024-06-28
STK7020,SHOP3121,MED2111,34,2022-05-11
STK7021,SHOP3098,MED2869,46,2023-07-27
STK7022,SHOP3063,MED2492,39,2024-08-08
STK7023,SHOP3089,MED2974,51,2022-09-01
STK7024,SHOP3001,MED2363,25,2020-02-04
STK7025,SHOP3052,MED2407,51,2021-06-18
STK7026,SHOP3003,MED2446,38,2022-11-08
STK7027,SHOP3052,MED2506,14,2020-04-18
STK7028,SHOP3040,MED2821,75,2023-05-10
STK7029,SHOP3000,MED2845,51,2020-04-10
STK7030,SHOP3032,MED2283,14,2021-12-28
STK7031,SHOP3004,MED2097,37,2019-06-21
STK7032,SHOP3138,MED2695,15,2019-05-03
STK7033,SHOP3035,MED2620,28,2024-08-11
STK7034,SHOP3083,MED2663,,2021-06-09
STK7035,SHOP3024,MED2408,51,2020-05-01
STK7036,SHOP3137,MED2424,54,2020-10-26
STK7037,SHOP3093,MED2043,42,2022-04-27
STK7038,SHOP3030,MED2336,24,2019-11-15
STK7039,SHOP3128,MED2017,47,2025-05-29
STK7040,SHOP3042,MED2522,1,2022-08-05
STK7041,SHOP3022,MED2257,46,2024-07-13
STK7042,SHOP3049,MED2345,20,2023-07-03
STK7043,SHOP3058,MED2460,25,2024-09-12
STK7044,SHOP3046,MED2004,40,2021-09-19
