purchase_id,medicine_id,shop_id,supplier_name,purchase_date,quantity,cost_price
PUR6000,MED2892,SHOP3057,MedLink,2023-05-02,49,237
PUR6001,MED2191,SHOP3020,MedLink,2023-03-20,90,155
PUR6002,MED2810,SHOP3003,LifeLine,2020-10-17,63,127
PUR6003,MED2841,SHOP3115,HealthCorp,2020-07-29,47,133
PUR6004,MED2313,SHOP3113,MedLink,2021-03-11,72,261
PUR6005,MED2470,SHOP3087,LifeLine,2020-01-23,29,175
PUR6006,MED2062,SHOP3133,MedLink,2020-07-10,38,223
PUR6007,MED2271,SHOP3070,HealthCorp,2019-06-16,39,164
PUR6008,MED2298,SHOP3021,MedLink,2023-06-03,40,229
PUR6009,MED2151,SHOP3036,LifeLine,2019-10-07,17,182
PUR6010,MED2009,SHOP3118,ABC Suppliers,2019-11-21,56,246
PUR6011,MED2281,SHOP3024,HealthCorp,2025-04-24,59,212
PUR6012,MED2785,SHOP3007,MedLink,2019-08-20,10,136
PUR6013,MED2051,SHOP3086,MedLink,2021-09-23,80,213
PUR6014,MED2218,SHOP3012,MedLink,2023-12-29,31,183
PUR6015,MED2310,SHOP3132,MedLink,2025-04-02,29,124
PUR6016,MED2092,SHOP3036,ABC Suppliers,2025-03-04,15,184
PUR6017,MED2253,SHOP3025,ABC Suppliers,2020-05-16,39,199
PUR6018,MED2380,SHOP3128,HealthCorp,2021-09-16,22,128
PUR6019,MED2663,SHOP3123,LifeLine,2020-06-11,41,181
PUR6020,MED2302,SHOP3120,LifeLine,2019-08-28,51,198
PUR6021,MED2521,SHOP3140,ABC Suppliers,2024-05-22,46,202
PUR6022,MED2732,SHOP3138,MedLink,2022-12-14,31,189
PUR6023,MED2954,SHOP3099,HealthCorp,2020-09-05,40,189
PUR6024,MED2550,SHOP3124,LifeLine,2024-10-20,45,187
PUR6025,MED2146,SHOP3077,ABC Suppliers,2019-03-07,61,220
PUR6026,MED2033,SHOP3024,ABC Suppliers,2024-10-17,61,192
PUR6027,MED2916,SHOP3046,MedLink,2021-09-30,42,177
PUR6028,MED2742,SHOP3024,MedLink,2025-03-20,78,198
PUR6029,MED2275,SHOP3051,ABC Suppliers,2022-11-06,80,188
PUR6030,MED2949,SHOP3063,ABC Suppliers,2022-08-18,33,299
PUR6031,MED2186,SHOP3111,LifeLine,2023-08-10,63,199
PUR6032,MED2821,SHOP3109,MedLink,2020-12-20,44,226
PUR6033,MED2572,SHOP3122,MedLink,2020-11-27,72,237
PUR6034,MED2518,SHOP3119,HealthCorp,2020-03-16,40,153
PUR6035,MED2217,SHOP3064,LifeLine,2022-07-23,49,143
PUR6036,MED2773,SHOP3134,ABC Suppliers,2025-04-24,48,182
PUR6037,MED2921,SHOP3146,HealthCorp,2023-10-07,37,193
PUR6038,MED2912,SHOP3118,LifeLine,2022-06-30,78,122
PUR6039,MED2291,SHOP3067,LifeLine,2022-08-23,58,208
PUR6040,MED2642,SHOP3022,ABC Suppliers,2023-06-30,59,288
PUR6041,MED2720,SHOP3105,ABC Suppliers,2019-03-04,87,159
